id,author_id,year
"1","507","1980"
"2","1439","2005"
"3","975","2020"
"4","463","2011"
"5","2064","2002"
"6","1815","2012"
"7","54","1978"
"8","2371","2006"
"9","490","2002"
"10","2182","2003"
"11","1709","1991"
"12","1906","1994"
"13","1163","1996"
"14","143","1980"
"15","750","1999"
"16","1562","1988"
"17","411","1991"
"18","816","1991"
"19","1411","2003"
"20","107","2003"
"21","2487","1979"
"22","2456","2015"
"23","649","1979"
"24","1466","2010"
"25","1138","1975"
"26","1628","1994"
"27","2210","1979"
"28","990","1992"
"29","943","2019"
"30","2389","1986"
"31","2438","1991"
"32","1750","2001"
"33","224","2017"
"34","1457","2004"
"35","481","1982"
"36","1324","1986"
"37","1533","2009"
"38","1827","1999"
"39","2280","2018"
"40","40","1994"
"41","1993","2002"
"42","693","2001"
"43","2163","2009"
"44","104","1983"
"45","2085","2013"
"46","916","1998"
"47","1364","1976"
"48","1527","1984"
"49","70","2011"
"50","2203","2020"
"51","1384","2007"
"52","1427","1997"
"53","1339","1996"
"54","476","1991"
"55","680","1990"
"56","780","1976"
"57","2473","2016"
"58","477","1985"
"59","2495","2003"
"60","964","2023"
"61","2331","1994"
"62","1678","2011"
"63","186","2011"
"64","1758","2013"
"65","1806","1998"
"66","1520","2022"
"67","2250","1977"
"68","1707","2005"
"69","1461","2014"
"70","1045","1992"
"71","1476","1992"
"72","2467","1988"
"73","666","2011"
"74","1516","2020"
"75","1412","2001"
"76","1327","1976"
"77","1746","2011"
"78","1527","2016"
"79","86","2010"
"80","1376","2023"
"81","747","1995"
"82","1228","1983"
"83","2060","1981"
"84","1097","1993"
"85","1328","1976"
"86","1525","2021"
"87","1819","1987"
"88","1045","2008"
"89","2181","2005"
"90","114","2016"
"91","1692","1983"
"92","2314","2010"
"93","1640","1997"
"94","1802","1998"
"95","374","1986"
"96","574","2006"
"97","662","2016"
"98","1249","1978"
"99","2216","1995"
"100","169","2015"
"101","1744","2022"
"102","810","2009"
"103","1188","2001"
"104","865","1979"
"105","1646","1990"
"106","923","1985"
"107","96","1978"
"108","621","1984"
"109","1813","1998"
"110","1469","1981"
"111","1688","1978"
"112","1104","1989"
"113","1497","1992"
"114","2454","1987"
"115","163","2020"
"116","669","1976"
"117","602","2019"
"118","1791","1994"
"119","940","2015"
"120","1867","1988"
"121","2209","2015"
"122","479","2013"
"123","1257","2008"
"124","561","2005"
"125","1582","2012"
"126","1492","2020"
"127","2357","1978"
"128","2011","2008"
"129","480","1992"
"130","610","1998"
"131","996","1977"
"132","521","1992"
"133","1049","2023"
"134","2443","1981"
"135","623","2016"
"136","936","2013"
"137","1472","1977"
"138","1502","2012"
"139","16","1988"
"140","2014","1987"
"141","74","2023"
"142","177","2007"
"143","1402","2018"
"144","928","2007"
"145","864","1995"
"146","2302","1981"
"147","691","2006"
"148","2162","1994"
"149","996","2007"
"150","1673","2002"
"151","1911","2003"
"152","599","2008"
"153","255","2003"
"154","1370","2017"
"155","1225","1979"
"156","89","1985"
"157","1758","2018"
"158","704","2005"
"159","772","2008"
"160","25","2003"
"161","1293","2007"
"162","1773","2016"
"163","1983","2002"
"164","2484","2010"
"165","902","2005"
"166","418","1985"
"167","2103","1978"
"168","960","1996"
"169","665","1979"
"170","1292","1976"
"171","2459","2007"
"172","783","1982"
"173","922","2020"
"174","843","1990"
"175","2002","1991"
"176","1576","2013"
"177","2211","2007"
"178","1098","1999"
"179","288","2008"
"180","460","2005"
"181","1083","2010"
"182","2072","1978"
"183","819","1984"
"184","2329","1992"
"185","1945","2010"
"186","1913","2004"
"187","1970","1998"
"188","1697","1979"
"189","1011","2023"
"190","2389","2004"
"191","1178","2017"
"192","1541","1999"
"193","2330","1989"
"194","818","1998"
"195","1480","2017"
"196","2391","1986"
"197","1290","2013"
"198","997","1984"
"199","3","2018"
"200","983","1978"
"201","697","1979"
"202","1336","1998"
"203","1919","2007"
"204","2252","1981"
"205","358","2023"
"206","683","2005"
"207","110","1997"
"208","2259","2021"
"209","344","1988"
"210","498","2008"
"211","1102","2022"
"212","1215","1990"
"213","1501","1993"
"214","1842","1989"
"215","225","2004"
"216","1427","2023"
"217","272","2022"
"218","1796","1979"
"219","2042","1983"
"220","2429","2021"
"221","1604","2020"
"222","1511","1990"
"223","300","1997"
"224","1287","1990"
"225","1983","2010"
"226","1317","1998"
"227","307","2005"
"228","1569","2018"
"229","711","2000"
"230","734","2019"
"231","2403","2019"
"232","312","1993"
"233","38","2018"
"234","1493","1990"
"235","206","2015"
"236","1770","1982"
"237","1120","2016"
"238","2037","2023"
"239","1856","2021"
"240","1659","2016"
"241","1296","1993"
"242","1471","2012"
"243","1884","2019"
"244","2375","2023"
"245","2121","2010"
"246","1960","2004"
"247","1067","1984"
"248","1285","1983"
"249","1231","2021"
"250","2037","1984"
"251","5","2012"
"252","393","1998"
"253","320","2019"
"254","477","1993"
"255","1313","1987"
"256","1212","1978"
"257","931","2021"
"258","16","1983"
"259","1842","2018"
"260","1232","2019"
"261","1619","2016"
"262","1459","2022"
"263","686","2014"
"264","808","1976"
"265","1365","2019"
"266","1686","2018"
"267","2191","2009"
"268","1857","1985"
"269","2120","2005"
"270","94","1983"
"271","1358","2010"
"272","727","1998"
"273","860","2002"
"274","735","2009"
"275","2391","2006"
"276","523","1999"
"277","1575","1986"
"278","67","2020"
"279","1201","1988"
"280","1400","1986"
"281","1320","2000"
"282","1043","2002"
"283","92","2015"
"284","1249","1989"
"285","1866","2003"
"286","336","2022"
"287","149","2009"
"288","1785","1976"
"289","2280","2018"
"290","2268","2005"
"291","1400","2022"
"292","361","1983"
"293","1405","1990"
"294","1016","2013"
"295","1389","1975"
"296","1289","2002"
"297","1879","2021"
"298","1895","1987"
"299","282","1979"
"300","2295","2017"
"301","1454","1979"
"302","856","1985"
"303","924","1982"
"304","1162","1983"
"305","921","2002"
"306","511","2021"
"307","795","1994"
"308","806","2023"
"309","334","2012"
"310","2329","2009"
"311","2406","2009"
"312","359","2001"
"313","438","2011"
"314","2498","1983"
"315","877","1998"
"316","1275","1994"
"317","1642","2016"
"318","2452","1987"
"319","1418","1985"
"320","1661","1981"
"321","1457","2000"
"322","1478","1991"
"323","668","2007"
"324","606","1976"
"325","1894","1979"
"326","1810","1986"
"327","2248","2004"
"328","525","1984"
"329","361","1998"
"330","1511","1984"
"331","1614","1997"
"332","559","1998"
"333","1203","1992"
"334","744","1981"
"335","2098","1986"
"336","588","1977"
"337","1843","1988"
"338","1565","2005"
"339","905","1980"
