category_id,movie_id
"3","1"
"11","2"
"13","2"
"5","3"
"12","4"
"8","4"
"4","5"
"13","6"
"2","6"
"1","7"
"3","8"
"9","8"
"10","9"
"10","10"
"4","10"
"13","11"
"11","12"
"10","12"
"3","13"
"12","14"
"7","14"
"12","15"
"4","16"
"6","16"
"3","17"
"4","18"
"13","18"
"4","19"
"4","20"
"1","20"
"5","21"
"10","22"
"1","23"
"11","24"
"1","24"
"2","25"
"1","26"
"6","26"
"4","27"
"7","28"
"4","28"
"12","29"
"4","30"
"1","30"
"12","31"
"4","32"
"7","33"
"12","34"
"8","34"
"10","35"
"9","36"
"8","36"
"3","37"
"9","38"
"2","38"
"1","39"
"11","40"
"13","40"
"9","41"
"12","42"
"7","42"
"13","43"
"10","44"
"5","44"
"6","45"
"8","46"
"1","46"
"8","47"
"7","48"
"8","48"
"6","49"
"10","50"
"12","50"
"4","51"
"6","52"
"8","52"
"13","53"
"7","54"
"13","54"
"4","55"
"9","56"
"8","56"
"3","57"
"9","58"
"8","58"
"9","59"
"12","60"
"1","60"
"2","61"
"8","62"
"1","62"
"7","63"
"7","64"
"13","64"
"8","65"
"10","66"
"6","66"
"8","67"
"1","68"
"6","68"
"12","69"
"1","70"
"6","70"
"11","71"
"11","72"
"8","72"
"13","73"
"7","74"
"4","74"
"6","75"
"5","76"
"2","76"
"1","77"
"13","78"
"10","78"
"10","79"
"5","80"
"11","80"
"4","81"
"9","82"
"11","82"
"8","83"
"7","84"
"2","84"
"9","85"
"5","86"
"10","86"
"5","87"
"11","88"
"8","88"
"5","89"
"5","90"
"11","90"
"9","91"
"12","92"
"11","92"
"1","93"
"13","94"
"3","94"
"11","95"
"8","96"
"12","96"
"7","97"
"12","98"
"8","98"
"3","99"
"6","100"
"4","100"
"7","101"
"13","102"
"6","102"
"2","103"
"9","104"
"1","104"
"4","105"
"2","106"
"3","106"
"2","107"
"8","108"
"6","108"
"5","109"
"3","110"
"9","110"
"9","111"
"6","112"
"8","112"
"6","113"
"9","114"
