movie_id,actor_id,character
"1","619","Morris Hammes"
"1","521","Nicholas Aufderhar"
"1","529","Josefina Volkman"
"1","946","Jared Prosacco"
"1","484","Shelley Howe V"
"1","458","Marcos Satterfield III"
"1","141","Clay Weissnat"
"1","640","Marsha Bednar"
"1","196","Grant Kessler"
"1","761","Jan Kihn"
"2","276","Jeffery Williamson"
"2","187","Joy Oberbrunner"
"2","766","Vernon Barton IV"
"2","61","Alejandro Ullrich"
"2","198","Ana Runolfsson II"
"2","15","Sheila Watsica"
"2","465","Gilbert Grant Jr."
"2","269","Betsy Lueilwitz"
"2","407","Danielle Baumbach"
"2","223","Nicole Kris"
"3","75","Ryan Lebsack"
"3","895","Wilma Kris"
"3","924","Claude Wolff II"
"3","603","Percy Murray-Batz"
"3","931","Angelo Wintheiser Jr."
"3","930","Alonzo Wyman"
"3","399","Kimberly Kilback"
"3","542","Angela Walsh"
"3","137","Lynn Smith"
"3","999","Matthew Bartoletti"
"4","331","Ms. Faye Schmitt"
"4","877","Mr. Jeff Tillman"
"4","985","Colin Wunsch"
"4","833","Annette Murazik"
"4","902","Camille Lakin"
"4","240","Salvador Little DDS"
"4","523","Martha Ernser-Nitzsche"
"4","468","Ms. Krystal Konopelski"
"4","211","Stuart Schumm-Deckow"
"4","253","Andrea Gulgowski"
"5","265","Nancy Kautzer"
"5","752","Leah Morissette"
"5","956","Alberta Douglas"
"5","400","Alejandro Hills"
"5","576","Dr. Roosevelt Glover Sr."
"5","659","Wendell Dare"
"5","992","Ada Fahey"
"5","822","Israel Lebsack"
"5","839","Olivia Veum"
"5","88","Enrique Hahn"
"6","950","Maureen Howe"
"6","351","Boyd Raynor"
"6","555","Tomas Schulist"
"6","526","Sheri Keebler"
"6","451","Tanya Mills"
"6","936","Alice Christiansen"
"6","62","Doyle Emard"
"6","35","Lawrence Langworth"
"6","690","Cecil Schinner V"
"6","433","Naomi Runte"
"7","371","Eloise Hegmann"
"7","361","Danny Dickens"
"7","449","Kara Monahan"
"7","404","Jack Torphy"
"7","156","Willis Willms"
"7","938","Frances Graham"
"7","880","Dave Christiansen"
"7","908","Phyllis Walker"
"7","498","Sherri Oberbrunner"
"7","510","Nathan Zemlak Jr."
"8","890","Grady MacGyver"
"8","560","Eunice Effertz"
"8","689","Jana Cole"
"8","991","Shari Gibson III"
"8","579","Nelson Labadie"
"8","585","Roosevelt Gorczany"
"8","235","Austin Heathcote II"
"8","482","Sandra Spencer-Crooks"
"8","521","Jenna Homenick"
"8","149","Allen Heaney"
"9","357","Kathleen Kuphal"
"9","63","Herbert Mayert"
"9","236","Patricia Beahan"
"9","71","Ellis VonRueden"
"9","438","Samantha Davis"
"9","32","Lela Borer"
"9","123","Perry Maggio"
"9","272","Dan Wisozk"
"9","298","Valerie Moen"
"9","83","Cedric Koepp"
"10","509","Darren Zemlak"
"10","483","Jaime Mann"
"10","540","Tricia Feest"
"10","230","Stephen Pfeffer"
"10","678","Darnell Schowalter"
"10","874","Clara Dicki"
"10","649","Maryann Macejkovic"
"10","700","Carlos Prohaska"
"10","129","Rosalie Zulauf MD"
"10","954","Ryan Mante"
"11","359","Jay Pacocha"
"11","361","Betsy Reichel"
"11","798","Jesse Grady"
"11","540","Mrs. Rosie Beer"
"11","270","Ada Prohaska"
"11","608","Daniel Waelchi"
"11","659","Ross Gislason"
"11","226","Alison Thiel"
"11","730","Dr. Guadalupe Homenick"
"11","773","Mabel McDermott MD"
"12","856","Clinton Pfannerstill"
"12","298","Willie Stark"
"12","191","Salvador Baumbach DVM"
"12","46","Edgar Gleason I"
"12","272","Clifton Runolfsdottir MD"
"12","227","Felicia Block"
"12","783","Doreen Lebsack"
"12","225","Ana Grant-Schumm"
"12","328","Donald Quitzon Jr."
"12","470","Don Rolfson"
"13","121","Lola Miller"
"13","695","Mrs. Angelica O'Keefe"
"13","90","Elias Thiel"
"13","910","Desiree Towne"
"13","962","Alan Cruickshank"
"13","360","Travis Wyman Sr."
"13","88","Mandy Frami"
"13","106","Chelsea Hahn"
"13","504","Maurice Hamill DVM"
"13","95","Alan Hudson"
"14","960","Thomas Lubowitz"
"14","945","Suzanne Smith"
