id,title,rating
"1","Hollaback Girl","6.1"
"2","Only The Lonely (Know The Way I Feel)","2.2"
"3","The Glow-Worm","1.9"
"4","It's All in the Game","7.5"
"5","You're Beautiful","2.2"
"6","Family Affair","1.6"
"7","Fire & Rain","2.8"
"8","Bad Romance","9.4"
"9","Live & Let Die","9.2"
"10","Oh","5.4"
"11","Get Off of My Cloud","8.9"
"12","Magic Carpet Ride","7"
"13","Chain of Fools","1.7"
"14","Open Arms","2.8"
"15","Me & Bobby McGee","5.1"
"16","Tom Dooley","5.7"
"17","Love Me Tender","7.2"
"18","I Write the Songs","0.8"
"19","Bohemian Rhapsody","8"
"20","Money For Nothing","5"
"21","I Feel Love","7.5"
"22","Ring My Bell","2.1"
"23","Pick Up the Pieces","5.8"
"24","Begin the Beguine","6.8"
"25","Love Theme From 'A Star is Born' (Evergreen)","3.4"
"26","Everybody Wants to Rule the World","9.1"
"27","Temperature","9.7"
"28","On My Own","6"
"29","Honey","0.1"
"30","Every Little Thing She Does is Magic","4.5"
"31","Be My Love","5.7"
"32","Walk On By","1.9"
"33","I Just Wanna Be Your Everything","1.3"
"34","Mrs Robinson","3"
"35","All Shook Up","0.9"
"36","Tighten Up","2.7"
"37","Tie a Yellow Ribbon 'round the Old Oak Tree","9.4"
"38","We Belong Together","3.4"
"39","Cars","5.9"
"40","One Bad Apple","3.6"
"41","Cold","7.8"
"42","Good Lovin'","1.5"
"43","Tutti Frutti","5.6"
"44","Just My Imagination (Running Away With Me)","6.1"
"45","Play That Funky Music","7.4"
"46","Fast Car","5.7"
"47","Oh My Papa (O Mein Papa)","2.5"
"48","You're the One That I Want","3.9"
"49","Let's Stay Together","7.2"
"50","Faith","6.3"
"51","Take a Bow","9.8"
"52","Time After Time","7.5"
"53","(Sexual) Healing","9.3"
"54","Hair","0.8"
"55","U Can't Touch This","9.7"
"56","I've Heard That Song Before","6.6"
"57","Riders On the Storm","6"
"58","Only You (And You Alone)","0.2"
"59","Fire & Rain","3.5"
"60","Big Girls Don't Cry","1.7"
"61","The Loco-Motion","1"
"62","The Morning After","1"
"63","Live & Let Die","7.8"
"64","All Out of Love","4.7"
"65","You've Got a Friend","9.4"
"66","Again","1.8"
"67","Love In This Club","5.4"
"68","(They Long to Be) Close to You","9.7"
"69","How You Remind Me","8.7"
"70","Da Doo Ron Ron (When He Walked Me Home)","9.4"
"71","Memories Are Made of This","1.2"
"72","Weak","9.7"
"73","Nobody Does it Better","2.2"
"74","Cherish","3.4"
"75","Chattanoogie Shoe-Shine Boy","9.5"
"76","I Honestly Love You","6.5"
"77","Down Under","1.2"
"78","Thrift Shop","0.6"
"79","Fire & Rain","2.2"
"80","This Diamond Ring","4.2"
"81","Sweet Soul Music","5.1"
"82","She Drives Me Crazy","5.8"
"83","(I Can't Get No) Satisfaction","3.2"
"84","Come Together","8.8"
"85","My Eyes Adored You","3.1"
"86","Rag Doll","7"
"87","Brandy (You're A Fine Girl)","1.5"
"88","Roll With It","8.7"
"89","Can't Buy Me Love","7.5"
"90","Glamorous","2.7"
"91","Shop Around","5.3"
"92","Tears in Heaven","7.2"
"93","I Can Dream","0.1"
"94","Get Off of My Cloud","4.6"
"95","Smoke! Smoke! Smoke! (That Cigarette)","1.8"
"96","The Sounds of Silence","1.7"
"97","Caldonia Boogie (What Makes Your Big Head So Hard)","0.9"
"98","Ring My Bell","8.8"
"99","Rhapsody in Blue","8.3"
"100","We Are the World","2.1"
"101","Tammy","4.7"
"102","One More Try","1.3"
"103","More Than Words","3.9"
"104","Bad Moon Rising","5"
"105","I Want to Hold Your Hand","6.5"
"106","Jailhouse Rock","2.2"
"107","Poker Face","4.4"
"108","Time After Time","6.6"
"109","Reach Out (I'll Be There)","4.1"
"110","I Can't Get Next to You","2.2"
"111","Wake Me Up Before You Go Go","9.9"
"112","Black Or White","8.4"
"113","Because I Love You (The Postman Song)","6.8"
"114","Mony Mony","0.3"
"115","Glory of Love","8.2"
"116","12th Street Rag","0.7"
"117","Rock Around the Clock","2.9"
"118","Ain't That a Shame","2.8"
"119","Rosanna","5.3"
"120","You Don't Have to Be a Star (To Be in My Show)","1.8"
"121","Mr Brightside","3.5"
"122","Here Without You","3.7"
"123","He'll Have to Go","6"
"124","Battle of New Orleans","3.8"
"125","You Light Up My Life","7.1"
"126","(Let Me Be Your) Teddy Bear","1"
"127","You Make Me Feel Like Dancing","2.7"
"128","Smoke Gets in Your Eyes","9.3"
"129","Let's Dance","2.3"
"130","Instant Karma","5.6"
"131","Footloose","4"
"132","Crying","5.9"
"133","Honky Tonk","1.5"
"134","Born to Be Wild","0.3"
"135","A Hard Day's Night","5.3"
"136","Black Velvet","6.9"
"137","Feel Like Making Love","1.8"
"138","I'm Looking Over a Four Leaf Clover","2.9"
"139","Candy Man","4.6"
"140","Stagger Lee","5.5"
"141","Respect","1.5"
"142","Un-Break My Heart","3.2"
"143","(Let Me Be Your) Teddy Bear","7.6"
"144","Boom Boom Pow","9.7"
"145","Big Girls Don't Cry","1.7"
"146","You Make Me Feel Brand New","4.3"
"147","Imagine","5"
"148","(It's No) Sin","4.2"
"149","Don't Go Breaking My Heart","4.1"
"150","Stay (I Missed You)","8"
"151","Wild Thing","4.3"
"152","All Along the Watchtower","1.1"
"153","Empire State Of Mind","1"
"154","Nobody Does it Better","1.5"
"155","Reunited","3.1"
"156","Dizzy","9.1"
"157","I'll be seeing you","1.7"
"158","Upside Down","6.1"
"159","American Pie","8.9"
"160","Un-Break My Heart","0"
"161","Mule Train","8.4"
"162","Help Me","3.6"
"163","Black Velvet","7.1"
"164","Suspicious Minds","5.8"
"165","Wild Wild West","3.5"
"166","Slow Poke","1.8"
"167","Chattanooga Choo Choo","0.4"
"168","Wake Up Little Susie","5.8"
"169","Mona Lisa","8.8"
"170","Right Back Where We Started From","4.3"
"171","Down Under","8.6"
"172","Burn","8.5"
"173","Unforgettable","7.6"
"174","Please Mr Postman","9"
"175","Best of My Love","1.6"
"176","Seasons in the Sun","3.6"
"177","Shining Star","5.1"
"178","Layla","3.6"
"179","Kokomo","4.5"
"180","Yellow Rose of Texas","6.5"
"181","You're Beautiful","0.3"
"182","Hero","4"
"183","Georgy Girl","7"
"184","I Can't Help Myself (Sugar Pie","4.1"
"185","Mack the Knife","7.4"
"186","This Guy's in Love With You","2.7"
"187","Nobody Does it Better","1.5"
"188","Makin' Whoopee","7.1"
"189","Cherish","6.8"
"190","Penny Lane","9.4"
"191","I Can't Go For That (No Can Do)","6.4"
"192","Unforgettable","4"
"193","Won't Get Fooled Again","8.3"
"194","After You've Gone","7.8"
"195","Wake Up Little Susie","8"
"196","How Do I Live?","9.4"
"197","Rock With You","9.9"
"198","Moonlight Serenade","2.5"
"199","I Can't Help Myself (Sugar Pie","1.1"
"200","I'll Never Smile Again","4.6"
"201","We Are Young","8.6"
"202","Keep On Loving You","6.8"
"203","All I Have to Do is Dream","2.8"
"204","In the End","8.2"
"205","Piano Man","2.5"
"206","Billie Jean","8.6"
"207","The Streak","7.4"
"208","Vaya Con Dios (may God Be With You)","8.6"
"209","Knock Three Times","8.7"
"210","Let Me Love You","3.1"
"211","Spanish Harlem","8.4"
"212","Crocodile Rock","4"
"213","Hey There Delilah","3"
"214","I Honestly Love You","3.4"
"215","Tears in Heaven","4.3"
"216","Mule Train","6.7"
"217","Say Say Say","5.6"
"218","Whatcha Say","5.3"
"219","Stop! in the Name of Love","5.2"
"220","Before The Next Teardrop Falls","2"
"221","Yellow Rose of Texas","4.4"
"222","That Lucky Old Sun (Just Rolls Around Heaven All Day)","9.3"
"223","Hard to Say I'm Sorry","5.3"
"224","It's Too Late","7.6"
"225","Three Coins in the Fountain","1.4"
"226","Love In This Club","6.6"
"227","Flashdance. What a Feeling","4.5"
"228","Where is the Love?","8.9"
"229","Live & Let Die","1.7"
"230","Don't Be Cruel","7.3"
"231","Travellin' Band","3.8"
"232","He's So Fine","1.4"
"233","Rag Doll","9.3"
"234","This Love","3.5"
"235","The Sweet Escape","7.6"
"236","The Love You Save","3.9"
"237","Nothin' on You","6.2"
"238","Come On Eileen","2.2"
"239","Kiss & Say Goodbye","3.3"
"240","Bad Romance","9.9"
"241","Eight Days a Week","7.7"
