category_id,movie_id
"2","1"
"12","2"
"13","2"
"13","3"
"8","4"
"11","4"
"6","5"
"7","6"
"1","6"
"4","7"
"5","8"
"6","8"
"3","9"
"13","10"
"3","11"
"3","12"
"2","12"
"13","13"
"10","14"
"7","15"
"12","16"
"5","16"
"13","17"
"5","18"
"11","18"
"6","19"
"7","20"
"3","21"
"7","22"
"12","22"
"6","23"
"9","24"
"10","25"
"9","26"
"10","26"
"2","27"
"1","28"
"7","28"
"2","29"
"7","30"
"2","30"
"13","31"
"12","32"
"1","32"
"13","33"
"13","34"
"1","34"
"9","35"
"3","36"
"5","36"
"9","37"
"8","38"
"5","38"
"13","39"
"3","40"
"9","40"
"7","41"
"3","42"
"11","43"
"7","44"
"4","44"
"13","45"
"6","46"
"1","46"
"4","47"
"2","48"
"12","48"
"6","49"
"1","50"
"7","50"
"4","51"
"1","52"
"3","52"
"4","53"
"3","54"
"13","54"
"11","55"
"11","56"
"3","56"
"11","57"
"6","58"
"10","58"
"12","59"
"5","60"
"9","60"
"3","61"
"4","62"
"6","62"
"8","63"
"2","64"
"9","64"
"2","65"
"6","66"
"2","66"
"3","67"
"1","68"
"5","68"
"5","69"
"10","70"
"12","71"
"2","72"
"10","72"
"8","73"
"9","74"
"7","74"
"9","75"
"5","76"
"1","77"
"5","78"
"2","78"
"9","79"
"1","80"
"5","80"
"1","81"
"5","82"
"13","82"
"4","83"
"7","84"
"8","84"
"11","85"
"1","86"
"4","87"
"6","88"
"2","88"
"11","89"
"7","90"
"11","90"
"1","91"
"2","92"
"5","92"
"9","93"
"2","94"
"12","94"
"8","95"
"1","96"
"7","96"
"9","97"
"9","98"
"3","98"
"2","99"
"10","100"
"12","101"
"5","102"
"2","102"
"3","103"
"3","104"
"9","105"
"3","106"
"3","107"
"13","108"
"2","108"
"9","109"
"7","110"
"2","110"
"4","111"
"8","112"
"12","112"
"4","113"
"4","114"
"7","114"
"6","115"
"2","116"
"13","116"
"11","117"
"2","118"
"7","118"
"8","119"
"7","120"
"12","120"
"9","121"
"12","122"
"13","122"
"13","123"
"8","124"
"9","124"
"4","125"
"1","126"
"13","126"
"1","127"
"6","128"
"5","128"
"8","129"
"3","130"
"10","130"
"1","131"
"8","132"
"13","132"
"6","133"
"10","134"
"6","134"
"5","135"
"5","136"
"8","136"
"4","137"
"9","138"
"12","138"
"6","139"
"2","140"
"5","140"
"2","141"
"2","142"
"8","142"
"12","143"
"3","144"
"9","144"
"3","145"
"8","146"
"6","146"
"10","147"
"3","148"
"7","148"
"1","149"
"13","150"
"12","150"
"7","151"
"2","152"
"8","152"
"13","153"
"12","154"
"8","154"
"1","155"
"10","156"
"3","156"
"2","157"
"5","158"
"11","158"
"7","159"
"9","160"
"6","160"
"7","161"
"7","162"
"4","162"
"2","163"
"4","164"
"13","164"
"3","165"
"10","166"
"7","166"
"5","167"
"1","168"
"8","168"
"12","169"
"3","170"
"7","171"
"3","172"
"7","172"
"10","173"
"11","174"
"5","174"
"4","175"
"2","176"
"13","176"
"6","177"
"7","178"
"12","178"
"9","179"
"1","180"
"13","180"
"8","181"
"1","182"
"9","182"
"8","183"
"7","184"
"11","184"
"4","185"
"4","186"
"5","186"
"8","187"
"6","188"
"7","189"
"12","190"
"8","190"
"8","191"
"12","192"
"2","192"
"10","193"
"7","194"
"3","194"
"2","195"
"2","196"
"10","196"
"12","197"
"9","198"
"10","198"
"6","199"
"8","200"
"9","200"
"3","201"
"10","202"
"11","202"
"2","203"
"2","204"
"12","204"
"13","205"
"3","206"
"2","206"
"5","207"
"6","208"
"1","208"
"12","209"
"1","210"
"2","210"
"7","211"
"4","212"
"5","212"
"4","213"
"7","214"
"8","214"
"9","215"
"12","216"
"10","216"
"13","217"
"13","218"
"9","218"
"8","219"
"13","220"
"4","220"
"1","221"
"13","222"
"5","222"
"2","223"
"9","224"
"4","224"
"8","225"
"3","226"
"10","226"
"12","227"
"5","228"
"7","228"
"9","229"
"8","230"
"10","230"
"8","231"
"3","232"
"4","233"
"10","234"
"11","234"
"3","235"
"13","236"
"5","236"
"4","237"
"9","238"
"1","238"
"6","239"
"7","240"
"10","240"
"8","241"
"12","242"
"11","242"
"11","243"
"11","244"
"8","244"
"3","245"
"1","246"
"5","246"
"1","247"
"3","248"
"13","248"
"3","249"
"1","250"
"5","251"
"13","252"
"10","252"
"9","253"
"4","254"
"7","255"
"9","256"
"12","256"
"11","257"
"7","258"
"13","258"
"12","259"
"5","260"
"2","260"
"9","261"
"10","262"
"7","262"
"6","263"
"8","264"
"6","264"
"4","265"
"3","266"
"4","266"
"11","267"
"9","268"
"4","268"
"7","269"
"10","270"
"5","270"
"11","271"
"1","272"
"10","272"
"2","273"
"12","274"
"11","274"
"7","275"
"13","276"
"6","277"
"9","278"
"5","278"
"12","279"
"10","280"
