movie_id,actor_id,character
"1","745","Brittany Kuvalis"
"1","739","Joann Kirlin Sr."
"1","203","Ms. Kay Baumbach"
"1","886","Kristi Herman"
"1","17","Angie Barton"
"1","791","Elisa Rath PhD"
"1","877","Cassandra Bednar"
"1","988","Harry Macejkovic"
"1","864","Gladys Kunde"
"1","976","Dr. Joshua D'Amore"
"2","427","Ryan Hammes IV"
"2","452","Micheal Hintz"
"2","186","Jessica Hamill"
"2","57","Hector Howell"
"2","134","Christine Greenholt"
"2","992","Claudia Franey"
"2","182","Pedro Rippin"
"2","303","Jay Rohan"
"2","225","Morris Towne"
"2","625","Ramiro Hudson"
"3","858","Heather Schulist"
"3","446","Bradley Murphy"
"3","66","Jessie Lueilwitz"
"3","985","Mrs. Sherry Schiller"
"3","210","Shannon Kris"
"3","518","Gwendolyn Brekke"
"3","600","Diana Bruen"
"3","562","Mrs. Edith Crist"
"3","29","Carla Parker"
"3","529","Ms. Joanne Crona"
"4","832","Harvey Streich"
"4","215","Tommy O'Conner"
"4","545","Arturo DuBuque"
"4","931","Ada Cronin"
"4","486","Kelli O'Hara"
"4","25","Mr. Scott Zieme"
"4","111","Carla Goldner"
"4","861","Jesus Legros"
"4","107","Brendan Wolf"
"4","833","Monica Herman-Satterfield DVM"
"5","499","Angela Heller"
"5","517","Cesar Bruen"
"5","115","Lyle Moore II"
"5","218","Sheryl Macejkovic"
"5","263","Toni Hickle V"
"5","112","Shelia Runolfsson III"
"5","148","Miss Andrea Olson"
"5","487","Irene Reichel"
"5","890","Javier Ankunding"
"5","234","Ruben Nitzsche"
"6","870","Stephanie Kohler"
"6","364","Lyle Johnson-Ankunding"
"6","858","Jon Mante"
"6","577","Yolanda Okuneva I"
"6","828","Mrs. Jacqueline Cremin"
"6","712","Brad Nolan"
"6","849","Javier Vandervort"
"6","687","Sarah Frami"
"6","578","Earnest Smith"
"6","710","Miss Annie Rowe"
"7","845","Juanita Ferry"
"7","986","Dr. Miguel Dooley"
"7","107","Cecilia O'Conner"
"7","831","Candice Towne"
"7","245","Rene Connelly"
"7","954","Gary Cormier-Frami"
"7","823","Angel Abshire-Glover"
"7","203","Santos Bailey"
"7","476","Ernest Beier"
"7","360","Debra Reichert"
"8","122","Joyce Walter"
"8","503","Ivan Thiel-Bashirian"
"8","292","Frankie Tillman"
"8","696","Mr. Perry White"
"8","226","Tommie Wisoky"
"8","937","Kristy Kiehn"
"8","541","Lance Hilpert"
"8","330","Wayne Wolff"
"8","924","Kara Schimmel"
"8","667","Janice Breitenberg"
"9","337","John Jones"
"9","304","Phillip Wilderman"
"9","75","Josephine Jaskolski"
"9","677","Enrique Hilll III"
"9","566","Clay Reinger"
"9","493","Teri Lemke"
"9","339","Ashley Grant"
"9","342","Carolyn Kohler"
"9","516","Daryl Wisoky"
"9","63","Angelo Okuneva"
"10","225","Natasha O'Conner"
"10","169","Karen Green"
"10","642","Isaac Tillman"
"10","818","Florence Fritsch"
"10","658","Stella Raynor"
"10","284","Bennie Kautzer"
"10","769","Sheri Friesen"
"10","270","Gloria Stoltenberg"
"10","65","Rickey Ritchie"
"10","714","Pat Schmeler"
"11","818","Penny Lind III"
"11","568","Gerald Spencer"
"11","873","Clara Morissette"
"11","659","Miss Nina Crona"
"11","853","Billie Ortiz"
"11","935","Neil Hilpert"
"11","137","Shawna Hilll"
"11","69","Pauline Schmidt"
"11","72","Kate Cruickshank"
"11","543","Toby Lang"
"12","904","Dr. Geneva Moore"
"12","955","Allen Dickinson"
"12","11","Ruben Rath"
"12","669","Mr. Jeffrey Bernier"
"12","451","Gary Armstrong"
"12","720","Mr. Cedric Johnson"
"12","627","Caroline Cole"
"12","873","Hugo Rohan DVM"
"12","703","Aaron Haag"
"12","710","Edwin Hilpert"
"13","785","Russell Smith"
"13","34","Amos Boehm"
"13","650","Ms. June Ankunding"
"13","865","Amelia Nader-Skiles"
"13","222","Mable Botsford"
"13","874","Maggie Stoltenberg"
"13","322","Joan Tremblay"
"13","140","Dr. Barry Brakus"
"13","862","Lori Hansen"
"13","111","Elizabeth Schmeler"
"14","716","Toby D'Amore III"
"14","36","Fernando Homenick"
"14","381","Larry Bayer"
"14","384","Kenny Bradtke"
"14","861","Dallas Hodkiewicz"
"14","389","Dr. Ron Berge III"
"14","557","Domingo Rolfson"
"14","202","Dean Schaden"
"14","87","Colin McGlynn"
"14","842","Casey Considine I"
"15","850","Andrea Jast DDS"
"15","305","Stephen Halvorson"
"15","721","Owen Gutmann-Leuschke"
"15","777","Toni Rosenbaum"
"15","715","Sandy Bednar"
"15","913","Levi Barton"
"15","130","Patty Ratke-Mann"
"15","235","Myra Hane"
"15","70","Holly Waters"
"15","616","Isaac Buckridge"
"16","609","William Swaniawski"
"16","123","Alan Runte"
"16","18","Casey Heathcote"
"16","995","Tricia Zemlak"
"16","882","Susie Tromp"
"16","364","Melanie White-Ferry"
"16","78","Jan Turcotte"
"16","307","Darrell Conroy"
"16","530","Mr. Micheal White"
"16","544","Ms. Ida Marks Sr."
"17","271","Krystal Goodwin-Hahn"
"17","965","Everett Bernhard"
"17","794","Sam West"
"17","343","Florence Veum"
"17","812","Jessie Feeney"
"17","171","Alan Kreiger"
"17","516","Ramon Schamberger"
"17","838","Jodi Gutmann"
"17","424","Ronald Bechtelar"
"17","726","Pedro Bosco-Jerde"
"18","968","Mario Feeney"
"18","1","Dorothy Moen"
"18","826","Nick Sanford"
"18","135","Willie Quigley"
"18","157","Bridget Herman V"
"18","654","Ernesto Runolfsdottir"
"18","161","Karla Kilback"
"18","402","Bradford Nitzsche"
"18","528","Mrs. Peggy Morissette"
"18","211","Luz King"
"19","678","Jessie Heathcote"
"19","77","Paul McLaughlin"
"19","923","Luke Wilderman"
"19","902","Josh Little"
"19","78","Alejandro Bergnaum-Robel"
"19","901","Craig Franey"
"19","845","Arthur Wolf"
"19","945","Woodrow Prohaska"
"19","946","Ernest Medhurst"
"19","636","Darin Tillman"
"20","210","Chris Franey"
"20","779","Angel Legros"
"20","861","Edith Runte"
"20","165","Deborah Kuhn"
"20","363","Georgia Morissette"
"20","705","Mattie Hodkiewicz"
"20","44","Nadine Jacobs"
"20","636","Gwendolyn Will"
"20","789","Betsy Haley"
"20","573","Eric Kub"
"21","384","Kristy Ziemann"
"21","840","Eunice Gutmann"
"21","454","Kathryn Bednar"
"21","839","Willie Jacobs"
"21","272","Brett Zemlak"
"21","717","Jaime Roob"
"21","650","Jermaine Quitzon Sr."
"21","49","Ms. Gwendolyn Ryan"
"21","670","Paula Russel"
"21","380","Dan Kling"
"22","290","Alyssa Barrows"
"22","950","Emmett Waters"
"22","163","Van Nolan"
"22","169","Clyde Ward-Prohaska"
"22","153","Agnes Rogahn DDS"
"22","107","Della Johnston"
"22","172","Angelica Powlowski"
"22","622","Carole Will PhD"
