category_id,movie_id
"6","1"
"12","2"
"4","2"
"2","3"
"8","4"
"4","4"
"11","5"
"9","6"
"8","6"
"4","7"
"11","8"
"9","8"
"12","9"
"2","10"
"5","10"
"4","11"
"9","12"
"3","12"
"1","13"
"4","14"
"6","14"
"13","15"
"12","16"
"9","16"
"2","17"
"8","18"
"4","18"
"5","19"
"9","20"
"2","20"
"11","21"
"10","22"
"3","22"
"12","23"
"2","24"
"9","24"
"8","25"
"5","26"
"4","26"
"10","27"
"12","28"
"4","28"
"12","29"
"5","30"
"10","30"
"6","31"
"3","32"
"5","32"
"2","33"
"8","34"
"3","34"
"6","35"
"9","36"
"11","36"
"11","37"
"4","38"
"13","38"
"1","39"
"3","40"
"10","40"
"3","41"
"12","42"
"4","42"
"6","43"
"6","44"
"5","44"
"13","45"
"3","46"
"10","46"
"5","47"
"6","48"
"13","48"
"9","49"
"10","50"
"7","50"
"1","51"
"9","52"
"13","52"
"10","53"
"13","54"
"1","54"
"1","55"
"4","56"
"3","56"
"2","57"
"9","58"
"12","58"
"2","59"
"7","60"
"9","61"
"2","62"
"8","62"
"10","63"
"12","64"
"4","64"
"3","65"
"3","66"
"2","66"
"2","67"
"11","68"
"7","68"
"1","69"
"5","70"
"10","70"
"7","71"
"6","72"
"7","72"
"4","73"
"5","74"
"12","75"
"10","76"
"13","76"
"8","77"
"11","78"
"4","78"
"13","79"
"8","80"
"1","80"
"1","81"
"5","82"
"13","82"
"4","83"
"12","84"
"10","84"
"5","85"
"1","86"
"3","86"
"12","87"
"2","88"
"3","88"
"7","89"
"5","90"
"1","90"
"11","91"
"5","92"
"3","92"
"4","93"
"1","94"
"9","94"
"3","95"
"13","96"
"3","96"
"1","97"
"4","98"
"2","98"
"2","99"
"12","100"
"13","100"
"7","101"
"3","102"
"4","102"
"2","103"
"6","104"
"3","104"
"1","105"
"1","106"
"13","106"
"6","107"
"11","108"
"13","108"
"7","109"
"9","110"
"11","110"
"4","111"
"2","112"
"6","112"
"4","113"
"4","114"
"9","114"
"2","115"
"7","116"
"6","116"
"12","117"
"8","118"
"2","118"
"10","119"
"6","120"
"1","120"
"7","121"
"3","122"
"2","122"
"13","123"
"13","124"
"7","124"
"4","125"
"7","126"
"8","126"
"5","127"
"13","128"
"6","128"
"10","129"
"7","130"
"10","130"
"8","131"
"2","132"
"12","132"
"8","133"
"9","134"
"13","134"
"6","135"
"9","136"
"3","136"
"1","137"
"9","138"
"7","138"
"1","139"
"3","140"
"12","140"
"7","141"
"13","142"
"6","142"
"4","143"
"5","144"
"8","144"
"4","145"
"3","146"
"2","146"
"7","147"
"6","148"
"9","148"
"4","149"
"10","150"
"5","150"
"13","151"
"3","152"
"12","152"
"12","153"
"7","154"
"1","154"
